kode_prodi,nama_prodi,daya_tampung_2019,jumlah_peminat_2018,jumlah_peminat_2017,jumlah_peminat_2016,daya_tampung_2018,daya_tampung_2017,daya_tampung_2016,sma_ipa_2018,sma_ipa_2017,sma_ipa_2016,ma_ipa_2018,ma_ipa_2017,ma_ipa_2016,sma_ips_2018,sma_ips_2017,sma_ips_2016,ma_ips_2018,ma_ips_2017,ma_ips_2016,smk_ipa_2018,smk_ipa_2017,smk_ipa_2016,smk_ips_2018,smk_ips_2017,smk_ips_2016,smk_agama_2018,smk_agama_2017,smk_agama_2016,aceh_2018,aceh_2017,aceh_2016,sumatera_utara_2018,sumatera_utara_2017,sumatera_utara_2016,riau_2018,riau_2017,riau_2016,bengkulu_2018,bengkulu_2017,bengkulu_2016,kalimantan_barat_2018,kalimantan_barat_2017,kalimantan_barat_2016
1152057,KRIYA SENI,24,20,24, - ,26,30, - ,3,14,,3,2,,3,2,,5,,,3,,,3,5,,,1,,16,21,,2,2,,1,,,,1,,1,,
1152042,SENI RUPA MURNI,24,21,16, - ,27,30, - ,4,10,,4,1,,3,1,,4,,,5,1,,1,2,,,,,20,11,,,2,,,,,,1,,,,
1152065,DESAIN KOMUNIKASI VISUAL,28,48,34, - ,25,30, - ,11,12,,7,1,,8,7,,5,2,,12,8,,3,1,,,1,,31,23,,10,9,,,,,,,,,,
1162102,KESEJAHTERAAN SOSIAL,63, - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162091,PSIKOLOGI,48,301,292,175,50,60,110,107,99,51,74,85,58,47,41,30,19,19,12,20,24,8,13,9,6,1,,,286,278,158,9,4,12,1,,,,,,,,
1131065,PERIKANAN,60,225,259,212,54,41,48,120,137,87,8,12,15,37,52,56,8,9,6,33,33,29,11,12,11,,,,214,253,205,10,2,7,,,,,,,,,
1232046,HUKUM,59, - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232031,MANAJEMEN,96, - , - , - , - , - , - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112234,MANAJEMEN (PSDKU GAYO LUES),45,72,69,85,29,24,24,17,13,22,4,,4,21,34,40,8,3,8,11,11,4,10,8,6,,,,63,64,78,5,4,4,,,,,,,,,
1232015,ILMU PERPUSTAKAAN,83,480,397,257,57,51,56,142,82,65,40,43,24,142,118,72,54,58,37,15,20,13,52,45,33,,1,,26,22,22,426,363,218,16,5,4,,,,,,
1432114,PENDIDIKAN KRIYA,28,35, - , - ,32, - , - ,8,,,4,,,9,,,,,,1,,,8,,,,,,1,,,,,,4,,,2,,,,,
1232023,ILMU KOMUNIKASI,81,1156,844,605,154,145,56,264,181,100,55,50,50,420,266,206,134,113,89,73,51,29,119,123,95,2,10,1,38,26,27,1056,771,521,39,25,39,1,1,1,,1,1
1432106,ANTROPOLOGI BUDAYA,33,92, - , - ,32, - , - ,19,,,,,,36,,,7,,,10,,,10,,,,,,,,,9,,,6,,,2,,,,,
1432095,DESAIN DAN KOMUNIKASI VISUAL,67,288,157, - ,65,40, - ,63,37,,10,4,,74,35,,11,8,,59,30,,45,26,,1,,,3,3,,23,6,,17,10,,6,4,,,,
1422354,PENDIDIKAN TARI,45,63, - , - ,45, - , - ,21,,,4,,,17,,,3,,,5,,,9,,,,,,,,,7,,,9,,,7,,,,,
1612143,PENDIDIKAN JASMANI DAN KESEHATAN,40,618,712,649,37,35,24,182,200,186,16,29,18,282,313,302,27,41,22,33,54,59,42,43,39,1,,,1,,,10,9,12,,,,548,605,541,,,
1612174,JURNALISTIK,50,386,352,381,49,61,24,95,86,100,12,12,6,143,153,160,23,13,17,45,33,44,49,29,35,1,,1,,,,27,25,31,3,,2,301,251,260,,,
