kode_ptn,nama_ptn
111,UNIVERSITAS SYIAH KUALA
112,UNIVERSITAS MALIKUSSALEH
113,UNIVERSITAS TEUKU UMAR
114,UNIVERSITAS SAMUDRA
115,ISBI ACEH
116,UNIVERSITAS ISLAM NEGERI AR-RANIRY
121,UNIVERSITAS SUMATERA UTARA
122,UNIVERSITAS NEGERI MEDAN
123,UNIVERSITAS ISLAM NEGERI SUMATERA UTARA
131,UNIVERSITAS RIAU
132,UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM
133,UNIVERSITAS MARITIM RAJA ALI HAJI
141,UNIVERSITAS ANDALAS
142,UNIVERSITAS NEGERI PADANG
143,ISI PADANG PANJANG
151,UNIVERSITAS JAMBI
161,UNIVERSITAS BENGKULU
171,UNIVERSITAS SRIWIJAYA
172,UNIVERSITAS ISLAM NEGERI RADEN FATAH
181,UNIVERSITAS BANGKA BELITUNG
191,UNIVERSITAS LAMPUNG
192,INSTITUT TEKNOLOGI SUMATERA
311,UNIVERSITAS SULTAN AGENG TIRTAYASA
321,UNIVERSITAS INDONESIA
322,UNIVERSITAS ISLAM NEGERI JAKARTA
323,UNIVERSITAS NEGERI JAKARTA
324,"UPN ""VETERAN"" JAKARTA"
331,UNIVERSITAS SINGAPERBANGSA KARAWANG
332,INSTITUT TEKNOLOGI BANDUNG
333,UNIVERSITAS PADJADJARAN
334,UNIVERSITAS PENDIDIKAN INDONESIA
335,ISBI BANDUNG
336,UNIVERSITAS ISLAM NEGERI SUNAN GUNUNG DJATI
341,INSTITUT PERTANIAN BOGOR
342,UNIVERSITAS SILIWANGI
351,UNIVERSITAS JENDERAL SOEDIRMAN
352,UNIVERSITAS TIDAR
353,UNIVERSITAS SEBELAS MARET
354,ISI SURAKARTA
355,UNIVERSITAS DIPONEGORO
356,UNIVERSITAS NEGERI SEMARANG
357,UNIVERSITAS ISLAM NEGERI WALISONGO
361,UNIVERSITAS GADJAH MADA
362,UNIVERSITAS NEGERI YOGYAKARTA
363,"UPN ""VETERAN"" YOGYAKARTA"
364,ISI YOGYAKARTA
365,UNIVERSITAS ISLAM NEGERI SUNAN KALIJAGA
371,UNIVERSITAS JEMBER
372,UNIVERSITAS BRAWIJAYA
373,UNIVERSITAS NEGERI MALANG
374,UNIVERSITAS ISLAM NEGERI MALANG
381,UNIVERSITAS AIRLANGGA
382,INSTITUT TEKNOLOGI SEPULUH NOPEMBER
383,UNIVERSITAS NEGERI SURABAYA
384,UNIVERSITAS TRUNOJOYO MADURA
385,"UPN ""VETERAN"" JAWA TIMUR"
386,UNIVERSITAS ISLAM NEGERI SUNAN AMPEL SURABAYA
511,UNIVERSITAS TANJUNGPURA
521,UNIVERSITAS PALANGKARAYA
531,UNIVERSITAS LAMBUNG MANGKURAT
541,UNIVERSITAS MULAWARMAN
542,INSTITUT TEKNOLOGI KALIMANTAN
551,UNIVERSITAS BORNEO TARAKAN
611,UNIVERSITAS UDAYANA
612,UNIVERSITAS PENDIDIKAN GANESHA
613,ISI DENPASAR
621,UNIVERSITAS MATARAM
631,UNIVERSITAS NUSA CENDANA
632,UNIVERSITAS TIMOR
711,UNIVERSITAS HASANUDDIN
712,UNIVERSITAS NEGERI MAKASSAR
713,UNIVERSITAS ISLAM NEGERI ALAUDDIN
721,UNIVERSITAS SAM RATULANGI
722,UNIVERSITAS NEGERI MANADO
731,UNIVERSITAS TADULAKO
741,UNIVERSITAS SULAWESI BARAT
751,UNIVERSITAS HALUOLEO
752,UNIVERSITAS NEGERI GORONTALO
753,UNIVERSITAS SEMBILAN BELAS NOVEMBER KOLAKA
811,UNIVERSITAS PATTIMURA
821,UNIVERSITAS KHAIRUN
911,UNIVERSITAS CENDERAWASIH
912,UNIVERSITAS MUSAMUS MERAUKE
913,ISBI TANAH PAPUA
921,UNIVERSITAS PAPUA
